"title","rental_rate","kategori"
Crow Grease,0.99,Budget
Rush Goodfellas,0.99,Budget
Kick Savannah,0.99,Budget
Ladybugs Armageddon,0.99,Budget
Karate Moon,0.99,Budget
Language Cowboy,0.99,Budget
Kane Exorcist,0.99,Budget
Lawrence Love,0.99,Budget
Jungle Closer,0.99,Budget
Crooked Frogmen,0.99,Budget
Creatures Shakespeare,0.99,Budget
Jumping Wrath,0.99,Budget
Legend Jedi,0.99,Budget
Lesson Cleopatra,0.99,Budget
Juggler Hardly,0.99,Budget
Watch Tracy,0.99,Budget
Stone Fire,0.99,Budget
Joon Northwest,0.99,Budget
Storm Happiness,0.99,Budget
Lights Deer,0.99,Budget
Mars Roman,0.99,Budget
Lion Uncut,0.99,Budget
Loathing Legally,0.99,Budget
Story Side,0.99,Budget
Jeopardy Encino,0.99,Budget
Straight Hours,0.99,Budget
Strangelove Desire,0.99,Budget
Craft Outfield,0.99,Budget
Lose Inch,0.99,Budget
Jedi Beneath,0.99,Budget
Tights Dawn,0.99,Budget
Louisiana Harry,0.99,Budget
Love Suicides,0.99,Budget
Connection Microcosmos,0.99,Budget
Streak Ridgemont,0.99,Budget
Loverboy Attacks,0.99,Budget
Congeniality Quest,0.99,Budget
Argonauts Town,0.99,Budget
Comancheros Enemy,0.99,Budget
Coast Rainbow,0.99,Budget
Clyde Theory,0.99,Budget
Jawbreaker Brooklyn,0.99,Budget
Club Graffiti,0.99,Budget
Madness Attacks,0.99,Budget
Summer Scarface,0.99,Budget
Magic Mallrats,0.99,Budget
Sun Confessions,0.99,Budget
Magnolia Forrester,0.99,Budget
Sundance Invasion,0.99,Budget
Japanese Run,0.99,Budget
Majestic Floats,0.99,Budget
Maker Gables,0.99,Budget
Clockwork Paradise,0.99,Budget
Mallrats United,0.99,Budget
Intrigue Worst,0.99,Budget
Sunset Racer,0.99,Budget
Cleopatra Devil,0.99,Budget
Superfly Trip,0.99,Budget
Masked Bubble,0.99,Budget
Insects Stone,0.99,Budget
Watership Frontier,0.99,Budget
Indian Love,0.99,Budget
Maude Mod,0.99,Budget
Swarm Gold,0.99,Budget
Independence Hotel,0.99,Budget
Citizen Shrek,0.99,Budget
Impact Aladdin,0.99,Budget
Timberland Sky,0.99,Budget
Wedding Apollo,0.99,Budget
Sweethearts Suspects,0.99,Budget
Midnight Westward,0.99,Budget
Illusion Amelie,0.99,Budget
World Leathernecks,0.99,Budget
Mile Mulan,0.99,Budget
Hunger Roof,0.99,Budget
Hours Rage,0.99,Budget
Horror Reign,0.99,Budget
Minority Kiss,0.99,Budget
Talented Homicide,0.99,Budget
Hook Chariots,0.99,Budget
Arabia Dogma,0.99,Budget
Mob Duffel,0.99,Budget
Mockingbird Hollywood,0.99,Budget
Honey Ties,0.99,Budget
Homeward Cider,0.99,Budget
Modern Dorado,0.99,Budget
Taxi Kick,0.99,Budget
Holy Tadpole,0.99,Budget
Christmas Moonshine,0.99,Budget
Monterey Labyrinth,0.99,Budget
Montezuma Command,0.99,Budget
Moon Bunch,0.99,Budget
Holocaust Highball,0.99,Budget
Hollywood Anonymous,0.99,Budget
Mosquito Armageddon,0.99,Budget
Mother Oleander,0.99,Budget
Motions Details,0.99,Budget
Moulin Wake,0.99,Budget
Mourning Purple,0.99,Budget
Hobbit Alien,0.99,Budget
Mulan Moon,0.99,Budget
Chocolat Harry,0.99,Budget
Mummy Creatures,0.99,Budget
Hills Neighbors,0.99,Budget
Anonymous Human,0.99,Budget
Chill Luck,0.99,Budget
Music Boondock,0.99,Budget
Highball Potter,0.99,Budget
Tenenbaums Command,0.99,Budget
Mystic Truman,0.99,Budget
Hawk Chill,0.99,Budget
Chicken Hellfighters,0.99,Budget
Cheaper Clyde,0.99,Budget
Natural Stock,0.99,Budget
Necklace Outbreak,0.99,Budget
Neighbors Charade,0.99,Budget
Texas Watch,0.99,Budget
Theory Mermaid,0.99,Budget
Newsies Story,0.99,Budget
Newton Labyrinth,0.99,Budget
Haunting Pianist,0.99,Budget
None Spiking,0.99,Budget
Chainsaw Uptown,0.99,Budget
Hate Handicap,0.99,Budget
Celebrity Horn,0.99,Budget
Notorious Reunion,0.99,Budget
Notting Speakeasy,0.99,Budget
Novocaine Flight,0.99,Budget
Harper Dying,0.99,Budget
Harold French,0.99,Budget
Odds Boogie,0.99,Budget
Oklahoma Jumanji,0.99,Budget
Oleander Clue,0.99,Budget
Handicap Boondock,0.99,Budget
Catch Amistad,0.99,Budget
Gunfight Moon,0.99,Budget
Gun Bonnie,0.99,Budget
Orange Grapes,0.99,Budget
Carrie Bunch,0.99,Budget
Caper Motions,0.99,Budget
Tomatoes Hellfighters,0.99,Budget
Westward Seabiscuit,0.99,Budget
Outbreak Divine,0.99,Budget
Outfield Massacre,0.99,Budget
Groove Fiction,0.99,Budget
Tootsie Pilot,0.99,Budget
Pacific Amistad,0.99,Budget
Packer Madigan,0.99,Budget
Pajama Jawbreaker,0.99,Budget
Grit Clockwork,0.99,Budget
Greedy Roots,0.99,Budget
Grease Youth,0.99,Budget
Papi Necklace,0.99,Budget
Canyon Stock,0.99,Budget
Camelot Vacation,0.99,Budget
